blax,blay,blaz,trax,tray,traz,ms
-9.339781,0.117316,-0.167594,10.417171,-0.07422,1.237802,2659079
-9.306262,0.102951,-0.169988,10.338163,-0.086191,1.18513,2659085
-9.28232,0.081403,-0.179565,10.357317,-0.160412,1.235408,2659092
-9.272743,0.117316,-0.181959,10.419566,-0.059855,1.209072,2659098
-9.28232,0.081403,-0.126893,10.364499,-0.158017,1.326388,2659104
-9.303867,0.098162,-0.181959,10.371682,-0.069432,1.278504,2659111
-9.308656,0.146046,-0.100556,10.448297,-0.141258,1.288081,2659118
-9.32781,0.102951,-0.191536,10.412383,-0.134075,1.376666,2659125
-9.334992,0.088585,-0.1652,10.402806,-0.093374,1.268927,2659131
-9.323022,0.098162,-0.143652,10.350134,-0.136469,1.240196,2659137
-9.306262,0.150835,-0.153229,10.429143,-0.07422,1.240196,2659144
-9.294291,0.124498,-0.169988,10.354922,-0.069432,1.273715,2659150
-9.26556,0.102951,-0.102951,10.405201,-0.09098,1.249773,2659157
-9.234436,0.09098,-0.246603,10.390836,-0.117316,1.177947,2659163
-9.279925,0.19393,-0.148441,10.419566,-0.110133,1.233014,2659169
-9.323022,0.126893,-0.069432,10.383653,-0.102951,1.233014,2659176
-9.358934,0.095768,-0.19393,10.42196,-0.081403,1.292869,2659182
-9.260772,0.081403,-0.126893,10.393229,-0.093374,1.180341,2659188
-9.28232,0.114922,-0.172383,10.390836,-0.146046,1.223437,2659195
-9.306262,0.067038,-0.225055,10.395624,-0.107739,1.209072,2659201
-9.267955,0.122104,-0.138864,10.429143,-0.160412,1.221043,2659208
-9.318233,0.124498,-0.169988,10.390836,-0.088585,1.228225,2659214
-9.232041,0.134075,-0.196325,10.414778,-0.131681,1.252167,2659221
-9.248801,0.134075,-0.251391,10.395624,-0.167594,1.254562,2659228
-9.32781,0.124498,-0.169988,10.407595,-0.146046,1.221043,2659234
-9.349358,0.146046,-0.124498,10.371682,-0.098162,1.244985,2659240
-9.342175,0.062249,-0.237026,10.388441,-0.122104,1.319205,2659247
-9.294291,0.107739,-0.124498,10.388441,-0.122104,1.280898,2659253
-9.330204,0.112527,-0.203507,10.402806,-0.148441,1.240196,2659260
-9.294291,0.105345,-0.205901,10.381259,-0.062249,1.221043,2659266
-9.26556,0.100556,-0.141258,10.376471,-0.143652,1.283292,2659272
-9.31105,0.083797,-0.083797,10.364499,-0.095768,1.223437,2659279
-9.313444,0.093374,-0.184354,10.364499,-0.112527,1.300052,2659285
-9.337387,0.112527,-0.184354,10.405201,-0.093374,1.252167,2659292
-9.361329,0.198719,-0.215478,10.414778,-0.129287,1.300052,2659298
-9.287108,0.09098,-0.260968,10.390836,-0.114922,1.302446,2659304
-9.279925,0.122104,-0.198719,10.488997,-0.117316,1.383849,2659311
-9.318233,0.129287,-0.143652,10.414778,-0.134075,1.321599,2659317
-9.32781,0.107739,-0.258574,10.398018,-0.100556,1.307234,2659324
-9.346964,0.102951,-0.246603,10.34774,-0.112527,1.199495,2659330
-9.299079,0.134075,-0.21069,10.400413,-0.079009,1.242591,2659337
-9.323022,0.114922,-0.213084,10.388441,-0.093374,1.347936,2659343
-9.299079,0.143652,-0.086191,10.457873,-0.114922,1.201889,2659349
-9.289502,0.102951,-0.169988,10.414778,-0.134075,1.180341,2659356
-9.287108,0.172383,-0.201113,10.362105,-0.079009,1.118092,2659362
-9.267955,0.148441,-0.138864,10.433931,-0.11971,1.283292,2659369
-9.370906,0.153229,-0.177171,10.381259,-0.141258,1.371878,2659375
-9.330204,0.177171,-0.191536,10.383653,-0.076614,1.345541,2659381
-9.354146,0.155623,-0.076614,10.352529,-0.143652,1.235408,2659388
-9.251195,0.088585,-0.213084,10.364499,-0.131681,1.158794,2659394
-9.270349,0.126893,-0.222661,10.386047,-0.146046,1.192312,2659401
-9.31105,0.122104,-0.172383,10.496181,-0.117316,1.237802,2659407
-9.291897,0.114922,-0.179565,10.407595,-0.138864,1.206678,2659413
-9.255983,0.07422,-0.181959,10.455479,-0.114922,1.316811,2659420
-9.318233,0.131681,-0.215478,10.357317,-0.122104,1.18513,2659427
-9.306262,0.150835,-0.21069,10.412383,-0.100556,1.261744,2659433
-9.315839,0.122104,-0.134075,10.429143,-0.122104,1.173159,2659439
-9.294291,0.110133,-0.023942,10.457873,-0.117316,1.295263,2659446
-9.232041,0.136469,-0.124498,10.393229,-0.081403,1.225831,2659452
-9.299079,0.100556,-0.1652,10.362105,-0.162806,1.187524,2659459
-9.279925,0.110133,-0.177171,10.436325,-0.11971,1.280898,2659465
-9.263166,0.153229,-0.153229,10.424355,-0.107739,1.170765,2659471
-9.354146,0.124498,-0.150835,10.472239,-0.100556,1.271321,2659478
-9.313444,0.105345,-0.138864,10.314221,-0.067038,1.288081,2659484
-9.291897,0.102951,-0.179565,10.340557,-0.143652,1.280898,2659491
-9.255983,0.086191,-0.155623,10.407595,-0.083797,1.209072,2659497
-9.291897,0.081403,-0.241814,10.414778,-0.143652,1.273715,2659503
-9.246407,0.09098,-0.19393,10.42196,-0.09098,1.321599,2659510
-9.299079,0.129287,-0.07422,10.386047,-0.110133,1.290475,2659516
-9.3733,0.110133,-0.160412,10.390836,-0.114922,1.233014,2659523
-9.354146,0.110133,-0.131681,10.354922,-0.112527,1.106121,2659529
-9.306262,0.138864,-0.203507,10.414778,-0.141258,1.249773,2659536
-9.28232,0.124498,-0.098162,10.326192,-0.148441,1.278504,2659542
-9.289502,0.107739,-0.155623,10.412383,-0.112527,1.264138,2659548
